gtexsim_ccd.csv
gtexsim_ccd_factors_rough.csv
Loading GTEx data.
Loaded 11688 x 55863 count matrix.
Loading initial estimates of factors and loadings.
Loaded 55863 x 20 factors matrix, and 11688 x 20 loadings matrix.
Fitting Poisson topic model using nnmf.

 Iteration |        MSE |        MKL |     Target |  Rel. Err.
--------------------------------------------------------------
         1 | 10332602.0709 |    22.3492 |    22.3492 |          2
         2 | 10320171.1332 |    21.3198 |    21.3198 |       0.05
         3 | 10316420.1051 |    20.3346 |    20.3346 |       0.05
         4 | 10323542.1980 |    19.7020 |    19.7020 |       0.03
         5 | 10337240.8661 |    19.3937 |    19.3937 |       0.02
         6 | 10353169.8441 |    19.2238 |    19.2238 |      0.009
         7 | 10367473.8368 |    19.0847 |    19.0847 |      0.007
         8 | 10376369.7281 |    18.9488 |    18.9488 |      0.007
         9 | 10368663.6701 |    18.7960 |    18.7960 |      0.008
        10 | 10302790.4936 |    18.5993 |    18.5993 |       0.01
        11 | 9943807.6026 |    18.2865 |    18.2865 |       0.02
        12 | 8078895.3609 |    17.1231 |    17.1231 |       0.07
        13 | 4977547.9331 |    12.4257 |    12.4257 |        0.3
        14 | 4081048.2132 |     9.4165 |     9.4165 |        0.3
        15 | 3915695.3058 |     8.5986 |     8.5986 |       0.09
        16 | 2912959.0790 |     7.7604 |     7.7604 |        0.1
        17 | 1365983.9458 |     4.4046 |     4.4046 |        0.6
        18 | 425100.7205 |     2.0922 |     2.0922 |        0.7
        19 | 98514.8688 |     0.8959 |     0.8959 |        0.8
        20 | 37716.8140 |     0.4825 |     0.4825 |        0.6
        21 | 25265.7940 |     0.4168 |     0.4168 |        0.1
        22 | 18824.1779 |     0.4027 |     0.4027 |       0.03
        23 | 14846.3435 |     0.3958 |     0.3958 |       0.02
        24 | 12178.1014 |     0.3913 |     0.3913 |       0.01
        25 | 10286.7653 |     0.3880 |     0.3880 |      0.008
        26 |  8882.5040 |     0.3855 |     0.3855 |      0.006
        27 |  7808.9030 |     0.3837 |     0.3837 |      0.005
        28 |  6963.2150 |     0.3822 |     0.3822 |      0.004
        29 |  6284.9715 |     0.3810 |     0.3810 |      0.003
        30 |  5728.6068 |     0.3801 |     0.3801 |      0.002
        31 |  5264.0881 |     0.3793 |     0.3793 |      0.002
        32 |  4870.5518 |     0.3787 |     0.3787 |      0.002
        33 |  4530.8577 |     0.3782 |     0.3782 |      0.001
        34 |  4233.8175 |     0.3777 |     0.3777 |      0.001
        35 |  3971.7469 |     0.3773 |     0.3773 |      0.001
        36 |  3739.1524 |     0.3769 |     0.3769 |     0.0009
        37 |  3532.8160 |     0.3766 |     0.3766 |     0.0008
        38 |  3349.1582 |     0.3764 |     0.3764 |     0.0007
        39 |  3185.0104 |     0.3761 |     0.3761 |     0.0006
        40 |  3037.0623 |     0.3759 |     0.3759 |     0.0006
        41 |  2903.2166 |     0.3757 |     0.3757 |     0.0005
        42 |  2781.6183 |     0.3756 |     0.3756 |     0.0005
        43 |  2670.7275 |     0.3754 |     0.3754 |     0.0004
